"%Acm. Venda";"Comprador : Produto";"Código Produto";"Embalagem Unitária";"Vda Perdida Quantidade";"Vda Perdida Valor";"Venda % Partic.";"Lucratividade Valor";"Lucrat. % Partic.";"Lucrat. Marg %";"% Mark Up";"% Mark Down";"Contribuição Valor";"Contrib. % Partic.";"Contrib. Marg %";"Peso Bruto";"Peso Brt % Partic.";"Peso Líquido";"Custo Bruto";"Custo Líquido";"Despesa Venda";"Comissão";"Total Impostos";"ICMS s/ Venda";"PIS s/ Venda";"COFINS s/ Venda";"Outros Impostos";"IBS MUN s/ Venda";"IBS UF s/ Venda";"CBS s/ Venda";"IS s/ Venda"
"83,30";"ROBERTO : CHOCOLATE EM PÓ NESTLÉ 200g 50% CACAU";"9364";"UN 1";"0,209";"6,26";"0,02";"0,68";"0,01";"10,86";"61,58";"38,11";"0,68";"0,01";"10,86";"0,045";"0,00";"0,042";"3,88";"3,88";"0,00";"0,00";"1,71";"1,13";"0,10";"0,48";"0,00";"0,00";"0,01";"0,06";"0,00"
"83,32";"ROBERTO : CHOCOLATE KINDER BUENO T3 129g";"14094";"UN 1";"0,252";"7,06";"0,02";"1,88";"0,02";"26,68";"41,63";"29,39";"1,88";"0,02";"26,68";"0,039";"0,00";"0,033";"4,98";"4,52";"0,00";"0,00";"0,65";"0,00";"0,12";"0,54";"0,00";"0,00";"0,01";"0,06";"0,00"
"83,32";"ROBERTO : CHOCOLATE LINEA 30g BCO ZERO LACT";"11105";"UN 1";"0,040";"0,40";"0,00";"0,36";"0,00";"90,75";"";"100,00";"0,36";"0,00";"90,75";"0,002";"0,00";"0,001";"0,00";"0,00";"0,00";"0,00";"0,04";"0,00";"0,01";"0,03";"0,00";"0,00";"0,00";"0,00";"0,00"
"83,32";"ROBERTO : CHOCOLATE LINEA 30g DARK";"11098";"UN 1";"0,068";"0,68";"0,00";"0,15";"0,00";"21,81";"45,06";"31,06";"0,15";"0,00";"21,81";"0,003";"0,00";"0,002";"0,47";"0,47";"0,00";"0,00";"0,06";"0,00";"0,01";"0,05";"0,00";"0,00";"0,00";"0,01";"0,00"
"83,32";"ROBERTO : CHOCOLATE LINEA S/ AÇÚCAR 75g AO LEITE";"12092";"UN 1";"0,010";"0,23";"0,00";"0,21";"0,00";"90,75";"";"100,00";"0,21";"0,00";"90,75";"0,001";"0,00";"0,001";"0,00";"0,00";"0,00";"0,00";"0,02";"0,00";"0,00";"0,02";"0,00";"0,00";"0,00";"0,00";"0,00"
"83,32";"ROBERTO : CHOCOLATE LINEA ZERO LACTOSE 30g AO LEITE";"12071";"UN 1";"0,160";"1,60";"0,00";"1,45";"0,02";"90,75";"";"100,00";"1,45";"0,02";"90,75";"0,006";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"0,15";"0,00";"0,03";"0,12";"0,00";"0,00";"0,00";"0,01";"0,00"
"83,33";"ROBERTO : CHOCOLATE LINEA ZERO LACTOSE 30g BRANCO COOKIES";"12074";"UN 1";"0,177";"1,77";"0,01";"0,39";"0,00";"21,81";"45,05";"31,06";"0,39";"0,00";"21,81";"0,007";"0,00";"0,000";"1,22";"1,22";"0,00";"0,00";"0,16";"0,00";"0,03";"0,13";"0,00";"0,00";"0,00";"0,02";"0,00"
"83,35";"ROBERTO : CHOCOLATE NESTLÉ PRESTÍGIO DARK 33g";"9696";"UN 1";"1,589";"6,34";"0,02";"2,64";"0,03";"41,63";"103,57";"50,88";"2,64";"0,03";"41,63";"0,052";"0,00";"0,052";"3,11";"3,11";"0,00";"0,00";"0,59";"0,00";"0,10";"0,48";"0,00";"0,00";"0,01";"0,06";"0,00"
"83,35";"ROBERTO : CHOCOLATE SNICKERS VARIEDADES 171g";"6576";"UN 1";"0,090";"1,62";"0,00";"1,47";"0,02";"90,75";"";"100,00";"1,47";"0,02";"90,75";"0,017";"0,00";"0,015";"0,00";"0,00";"0,00";"0,00";"0,15";"0,00";"0,03";"0,12";"0,00";"0,00";"0,00";"0,01";"0,00"
"83,35";"ROBERTO : CHOCOLATE VITAO ZERO LACTOSE 22g";"15362";"UN 1";"0,010";"0,07";"0,00";"0,06";"0,00";"90,75";"";"100,00";"0,06";"0,00";"90,75";"0,000";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00"
"83,51";"ROBERTO : CHOCOTTONE BAUDUCCO 400g";"10779";"UN 1";"2,249";"53,96";"0,16";"5,13";"0,05";"9,51";"28,98";"22,47";"5,13";"0,05";"9,51";"0,990";"0,07";"0,900";"41,84";"37,36";"0,00";"0,00";"11,47";"6,48";"0,89";"4,10";"0,00";"0,00";"0,05";"0,49";"0,00"
"83,64";"ROBERTO : CHOCOTTONE BAUDUCCO 450g GOTAS&COBERTURA";"10903";"UN 1";"1,332";"42,61";"0,13";"3,80";"0,04";"8,92";"27,86";"21,79";"3,80";"0,04";"8,92";"0,714";"0,05";"0,599";"33,33";"29,76";"0,00";"0,00";"9,06";"5,11";"0,70";"3,24";"0,00";"0,00";"0,04";"0,38";"0,00"
"83,67";"ROBERTO : CHOCOTTONE BAUDUCCO 80g";"10428";"UN 1";"1,248";"9,35";"0,03";"7,36";"0,08";"78,75";"";"100,00";"7,36";"0,08";"78,75";"0,135";"0,01";"0,100";"0,00";"0,00";"0,00";"0,00";"1,99";"1,12";"0,15";"0,71";"0,00";"0,00";"0,01";"0,08";"0,00"
"83,68";"ROBERTO : CHROMIUM PICOLINATE BLACK SKULL S/SABOR C/200";"5931";"UN 1";"0,060";"2,11";"0,01";"0,20";"0,00";"9,27";"33,50";"25,09";"0,20";"0,00";"9,27";"0,000";"0,00";"0,000";"1,58";"1,34";"0,00";"0,00";"0,58";"0,38";"0,03";"0,16";"0,00";"0,00";"0,00";"0,02";"0,00"
"83,69";"ROBERTO : CHÁ DR.OETKER C/10 CAMOMILA 10g";"13666";"UN 1";"0,523";"3,65";"0,01";"1,17";"0,01";"32,07";"81,56";"44,92";"1,17";"0,01";"32,07";"0,012";"0,00";"0,001";"2,01";"1,49";"0,00";"0,00";"1,00";"0,66";"0,06";"0,28";"0,00";"0,00";"0,00";"0,03";"0,00"
"83,69";"ROBERTO : CHÁ DR.OETKER C/10 MOR/SILVESTR 10g";"13689";"UN 1";"0,067";"0,83";"0,00";"0,07";"0,00";"8,60";"55,88";"35,85";"0,07";"0,00";"8,60";"0,002";"0,00";"0,000";"0,53";"0,53";"0,00";"0,00";"0,23";"0,15";"0,01";"0,06";"0,00";"0,00";"0,00";"0,00";"0,00"
"83,69";"ROBERTO : CHÁ DR.OETKER C/10 PRETO 18g";"13982";"UN 1";"0,056";"0,39";"0,00";"0,10";"0,00";"25,83";"70,18";"41,24";"0,10";"0,00";"25,83";"0,000";"0,00";"0,000";"0,23";"0,18";"0,00";"0,00";"0,11";"0,07";"0,01";"0,03";"0,00";"0,00";"0,00";"0,00";"0,00"
"83,70";"ROBERTO : CHÁ LEÃO C/10 ERVA DOCE 16g";"6951";"UN 1";"0,489";"2,93";"0,01";"0,88";"0,01";"30,22";"87,77";"46,74";"0,88";"0,01";"30,22";"0,013";"0,00";"0,013";"1,56";"1,25";"0,00";"0,00";"0,80";"0,53";"0,05";"0,22";"0,00";"0,00";"0,00";"0,03";"0,00"
"83,71";"ROBERTO : CHÁ LEÃO C/10 GENG/ESP 16g";"7746";"UN 1";"0,170";"2,54";"0,01";"0,53";"0,01";"21,02";"54,38";"35,22";"0,53";"0,01";"21,02";"0,005";"0,00";"0,005";"1,65";"1,32";"0,00";"0,00";"0,69";"0,46";"0,04";"0,19";"0,00";"0,00";"0,00";"0,02";"0,00"
"83,72";"ROBERTO : CHÁ LEÃO C/15 CAMOMI/CIDREI/MAR 24g";"6795";"UN 1";"0,162";"3,23";"0,01";"0,78";"0,01";"23,98";"52,60";"34,47";"0,78";"0,01";"23,98";"0,007";"0,00";"0,004";"2,12";"1,58";"0,00";"0,00";"0,88";"0,58";"0,05";"0,25";"0,00";"0,00";"0,00";"0,00";"0,00"
"83,73";"ROBERTO : CHÁ LEÃO C/25 MATE ORIG 40g";"6216";"UN 1";"0,331";"3,30";"0,01";"0,23";"0,00";"6,97";"37,98";"27,53";"0,23";"0,00";"6,97";"0,019";"0,00";"0,013";"2,39";"2,17";"0,00";"0,00";"0,90";"0,59";"0,05";"0,25";"0,00";"0,00";"0,00";"0,00";"0,00"
"83,74";"ROBERTO : CHÁ LEÃO DRINKS C/10 MOR/HORT 20g";"8092";"UN 1";"0,208";"3,53";"0,01";"0,85";"0,01";"24,10";"64,15";"39,08";"0,85";"0,01";"24,10";"0,009";"0,00";"0,004";"2,15";"1,72";"0,00";"0,00";"0,96";"0,64";"0,06";"0,27";"0,00";"0,00";"0,00";"0,03";"0,00"
"83,75";"ROBERTO : CHÁ LEÃO FUZE CAMOMILA 15g CAMOMILA";"6819";"UN 1";"0,363";"4,72";"0,01";"1,14";"0,01";"24,12";"64,22";"39,11";"1,14";"0,01";"24,12";"0,016";"0,00";"0,005";"2,87";"2,30";"0,00";"0,00";"1,29";"0,85";"0,08";"0,36";"0,00";"0,00";"0,00";"0,04";"0,00"
"83,75";"ROBERTO : CHÁ LEÃO FUZE VERDE 16g C/10saq und";"6810";"UN 1";"0,123";"1,17";"0,00";"0,30";"0,00";"25,63";"69,46";"40,99";"0,30";"0,00";"25,63";"0,003";"0,00";"0,002";"0,69";"0,55";"0,00";"0,00";"0,32";"0,21";"0,02";"0,09";"0,00";"0,00";"0,00";"0,01";"0,00"
"83,75";"ROBERTO : CHÁ LEÃO GELADO C/10 ICE PÊSSEGO 25g";"7178";"UN 1";"0,096";"1,44";"0,00";"0,01";"0,00";"0,77";"38,92";"28,02";"0,01";"0,00";"0,77";"0,004";"0,00";"0,002";"1,04";"1,04";"0,00";"0,00";"0,39";"0,26";"0,02";"0,11";"0,00";"0,00";"0,00";"0,01";"0,00"
"83,75";"ROBERTO : CHÁ LEÃO MATTE 100g ";"6114";"UN 1";"0,156";"1,32";"0,00";"0,30";"0,00";"23,08";"60,80";"37,81";"0,30";"0,00";"23,08";"0,018";"0,00";"0,016";"0,82";"0,66";"0,00";"0,00";"0,36";"0,24";"0,02";"0,10";"0,00";"0,00";"0,00";"0,00";"0,00"
"83,75";"ROBERTO : CHÁ LEÃO REEQUILIBRA 18g HORTELÃ E LIMÃO C/10";"7243";"UN 1";"0,048";"0,81";"0,00";"0,06";"0,00";"7,71";"53,76";"34,96";"0,06";"0,00";"7,71";"0,002";"0,00";"0,001";"0,53";"0,53";"0,00";"0,00";"0,22";"0,15";"0,01";"0,06";"0,00";"0,00";"0,00";"0,01";"0,00"
"83,75";"ROBERTO : CHÁ LEÃOZINHO C/10 AMOR/FRAM 23g";"7452";"UN 1";"0,044";"0,71";"0,00";"0,14";"0,00";"20,11";"51,71";"34,08";"0,14";"0,00";"20,11";"0,002";"0,00";"0,001";"0,47";"0,37";"0,00";"0,00";"0,19";"0,13";"0,01";"0,05";"0,00";"0,00";"0,00";"0,01";"0,00"
"83,75";"ROBERTO : CHÁ MATE NATIVE ORGÂNICO 1L";"5017";"UN 1";"0,005";"0,07";"0,00";"0,00";"0,00";"6,37";"50,65";"33,62";"0,00";"0,00";"6,37";"0,005";"0,00";"0,000";"0,05";"0,05";"0,00";"0,00";"0,02";"0,01";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00"
"83,75";"ROBERTO : CHÁ PRODUTOS DA ROÇA CANE/VELHO 30g ";"13194";"UN 1";"0,078";"1,01";"0,00";"0,14";"0,00";"13,63";"69,14";"40,88";"0,14";"0,00";"13,63";"0,000";"0,00";"0,000";"0,60";"0,60";"0,00";"0,00";"0,28";"0,18";"0,02";"0,08";"0,00";"0,00";"0,00";"0,01";"0,00"
"83,75";"ROBERTO : CHÁ PRODUTOS DA ROÇA MACELA 20g ";"13485";"UN 1";"0,010";"0,13";"0,00";"0,09";"0,00";"72,75";"";"100,00";"0,09";"0,00";"72,75";"0,000";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"0,04";"0,02";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00"
"83,75";"ROBERTO : CHÁ REAL MULTIERVAS VERDE/HIBIS15g";"11959";"UN 1";"0,092";"0,55";"0,00";"0,08";"0,00";"14,35";"71,25";"41,60";"0,08";"0,00";"14,35";"0,003";"0,00";"0,001";"0,32";"0,32";"0,00";"0,00";"0,15";"0,10";"0,01";"0,04";"0,00";"0,00";"0,00";"0,00";"0,00"
"83,77";"ROBERTO : COBERTURA CHOC DR OETKER MOEDA 350g MEIO AMARGO";"14272";"UN 1";"0,284";"7,10";"0,02";"2,18";"0,02";"30,75";"51,24";"33,88";"2,18";"0,02";"30,75";"0,103";"0,01";"0,000";"4,69";"4,26";"0,00";"0,00";"0,66";"0,00";"0,12";"0,54";"0,00";"0,00";"0,01";"0,06";"0,00"
"83,78";"ROBERTO : COBERTURA CHOC DR.OETKER MOEDA 350g BRANCO";"14227";"UN 1";"0,187";"3,74";"0,01";"0,67";"0,01";"18,06";"46,02";"31,52";"0,67";"0,01";"18,06";"0,068";"0,00";"0,000";"2,56";"2,04";"0,00";"0,00";"1,02";"0,67";"0,06";"0,28";"0,00";"0,00";"0,00";"0,03";"0,00"
"83,78";"ROBERTO : COBERTURA KENKO 250g CHOCOLATE";"15476";"UN 1";"0,039";"0,62";"0,00";"0,15";"0,00";"23,83";"49,44";"33,08";"0,15";"0,00";"23,83";"0,011";"0,00";"0,010";"0,41";"0,41";"0,00";"0,00";"0,06";"0,00";"0,01";"0,05";"0,00";"0,00";"0,00";"0,01";"0,00"
"83,80";"ROBERTO : COMPOSTO LÁCTEO MOLICO 260g ZERO LACTOSE";"9721";"UN 1";"0,164";"5,41";"0,02";"1,29";"0,01";"23,77";"49,30";"33,02";"1,29";"0,01";"23,77";"0,057";"0,00";"0,043";"3,62";"3,62";"0,00";"0,00";"0,50";"0,00";"0,09";"0,41";"0,00";"0,00";"0,00";"0,00";"0,00"
"83,81";"ROBERTO : COMPOSTO LÁCTEO MOLICO FIBRAS 260g";"9756";"UN 1";"0,107";"3,10";"0,01";"0,65";"0,01";"20,92";"69,80";"41,11";"0,65";"0,01";"20,92";"0,037";"0,00";"0,028";"1,83";"1,61";"0,00";"0,00";"0,85";"0,56";"0,05";"0,24";"0,00";"0,00";"0,00";"0,00";"0,00"
"83,83";"ROBERTO : COMPOSTO LÁCTEO PIRACANJUBA 380g ZERO LACTOSE";"8686";"UN 1";"0,282";"7,04";"0,02";"1,83";"0,02";"26,05";"67,15";"40,17";"1,83";"0,02";"26,05";"0,134";"0,01";"0,107";"4,21";"3,29";"0,00";"0,00";"1,92";"1,27";"0,12";"0,53";"0,00";"0,00";"0,00";"0,00";"0,00"
"83,85";"ROBERTO : CONFEITO DR.OETKER 80g PEPITA";"13955";"UN 1";"0,722";"5,77";"0,02";"2,05";"0,02";"35,58";"64,46";"39,19";"2,05";"0,02";"35,58";"0,061";"0,00";"0,001";"3,51";"3,18";"0,00";"0,00";"0,53";"0,00";"0,10";"0,44";"0,00";"0,00";"0,01";"0,05";"0,00"
"83,86";"ROBERTO : CONFEITO RECH NEUGEBAUER 120g AMOR CARIOCA DUO";"8992";"UN 1";"0,176";"2,28";"0,01";"0,56";"0,01";"24,55";"51,05";"33,80";"0,56";"0,01";"24,55";"0,022";"0,00";"0,021";"1,51";"1,51";"0,00";"0,00";"0,21";"0,00";"0,04";"0,17";"0,00";"0,00";"0,00";"0,02";"0,00"
"83,86";"ROBERTO : CONFEITO RECH NEUGEBAUER 120g NAPOLITANO";"8871";"UN 1";"0,125";"1,62";"0,00";"0,40";"0,00";"24,66";"51,32";"33,91";"0,40";"0,00";"24,66";"0,016";"0,00";"0,015";"1,07";"1,07";"0,00";"0,00";"0,15";"0,00";"0,03";"0,12";"0,00";"0,00";"0,00";"0,01";"0,00"
"83,86";"ROBERTO : COQUETELEIRA MAX TITANIUM 700ml PRETA";"12492";"UN 1";"0,049";"1,37";"0,00";"0,07";"0,00";"5,02";"47,65";"32,27";"0,07";"0,00";"5,02";"0,006";"0,00";"0,000";"0,93";"0,93";"0,00";"0,00";"0,37";"0,25";"0,02";"0,10";"0,00";"0,00";"0,00";"0,01";"0,00"
"83,89";"ROBERTO : CREATINA TURBO BLACK SKULL 300g S/ SABOR";"5788";"UN 1";"0,177";"10,60";"0,03";"0,97";"0,01";"9,17";"57,29";"36,42";"0,97";"0,01";"9,17";"0,065";"0,00";"0,053";"6,74";"6,74";"0,00";"0,00";"2,89";"1,91";"0,17";"0,81";"0,00";"0,00";"0,01";"0,10";"0,00"
"83,91";"ROBERTO : CREME CHANTILLY FLEISCHMANN 1L GRAN FINALE";"16697";"UN 1";"0,193";"5,41";"0,02";"-0,36";"0,00";"-6,65";"25,95";"20,60";"-0,36";"0,00";"-6,65";"0,215";"0,02";"0,215";"4,30";"4,30";"0,00";"0,00";"1,48";"0,97";"0,09";"0,41";"0,00";"0,00";"0,00";"0,00";"0,00"
"83,91";"ROBERTO : CREME DE AMÊNDOAS ALMOND TP 200g";"8673";"UN 1";"0,117";"0,94";"0,00";"0,29";"0,00";"31,41";"88,78";"47,03";"0,29";"0,00";"31,41";"0,025";"0,00";"0,023";"0,50";"0,39";"0,00";"0,00";"0,25";"0,17";"0,02";"0,07";"0,00";"0,00";"0,00";"0,00";"0,00"
"83,92";"ROBERTO : CÁPSULA 3 CORAÇÕES COLOMBIA 56g";"10651";"UN 1";"0,127";"3,17";"0,01";"0,75";"0,01";"23,80";"49,35";"33,05";"0,75";"0,01";"23,80";"0,010";"0,00";"0,007";"2,12";"2,12";"0,00";"0,00";"0,29";"0,00";"0,05";"0,24";"0,00";"0,00";"0,00";"0,00";"0,00"
"83,95";"ROBERTO : CÁPSULA 3 CORAÇÕES MAXIMO 56g MAXIMO";"10647";"UN 1";"0,357";"8,92";"0,03";"8,09";"0,09";"90,75";"";"100,00";"8,09";"0,09";"90,75";"0,029";"0,00";"0,020";"0,00";"0,00";"0,00";"0,00";"0,82";"0,00";"0,15";"0,68";"0,00";"0,00";"0,00";"0,00";"0,00"
"83,96";"ROBERTO : CÁPSULA 3 CORAÇÕES PERU 56G";"10649";"UN 1";"0,134";"3,36";"0,01";"0,80";"0,01";"23,80";"49,35";"33,05";"0,80";"0,01";"23,80";"0,011";"0,00";"0,008";"2,25";"2,25";"0,00";"0,00";"0,31";"0,00";"0,06";"0,26";"0,00";"0,00";"0,00";"0,00";"0,00"
"83,97";"ROBERTO : CÁPSULA NESCAFÉ FARMERS ORIGINS 44g ESP COLÔMBIA";"12333";"UN 1";"0,098";"2,75";"0,01";"0,61";"0,01";"22,01";"45,47";"31,26";"0,61";"0,01";"22,01";"0,007";"0,00";"0,004";"1,89";"1,89";"0,00";"0,00";"0,25";"0,00";"0,05";"0,21";"0,00";"0,00";"0,00";"0,00";"0,00"
"83,98";"ROBERTO : CÁPSULA NESCAFÉ FARMERS ORIGINS 44g LUNGO BRAZIL";"12337";"UN 1";"0,142";"3,98";"0,01";"0,88";"0,01";"22,01";"45,47";"31,26";"0,88";"0,01";"22,01";"0,010";"0,00";"0,006";"2,74";"2,74";"0,00";"0,00";"0,37";"0,00";"0,07";"0,30";"0,00";"0,00";"0,00";"0,00";"0,00"
"83,98";"ROBERTO : DESINF MR MUSCULO BANHEIRO 500ml T/LIMO C/CLORO";"13713";"UN 1";"0,056";"1,01";"0,00";"0,26";"0,00";"25,85";"54,09";"35,10";"0,26";"0,00";"25,85";"0,032";"0,00";"0,032";"0,65";"0,65";"0,00";"0,00";"0,09";"0,00";"0,02";"0,08";"0,00";"0,00";"0,00";"0,01";"0,00"
"83,99";"ROBERTO : DESINF PATO LIMP PROFUNDA GEL 500ml LAVANDA";"14209";"UN 1";"0,101";"2,02";"0,01";"0,13";"0,00";"6,52";"50,98";"33,77";"0,13";"0,00";"6,52";"0,056";"0,00";"0,051";"1,34";"1,34";"0,00";"0,00";"0,55";"0,36";"0,03";"0,15";"0,00";"0,00";"0,00";"0,01";"0,00"
"83,99";"ROBERTO : DOCE DACOLÔNIA PÉ DE MOLEQUE 100g ZERO AÇÚCAR";"14829";"UN 1";"0,068";"1,03";"0,00";"0,11";"0,00";"10,78";"36,77";"26,88";"0,11";"0,00";"10,78";"0,009";"0,00";"0,007";"0,75";"0,64";"0,00";"0,00";"0,28";"0,18";"0,02";"0,08";"0,00";"0,00";"0,00";"0,01";"0,00"
"83,99";"ROBERTO : DOCE DACOLÔNIA PÉ MOLEQUE CROC 140g";"17001";"UN 1";"0,120";"1,08";"0,00";"0,15";"0,00";"13,73";"69,44";"40,98";"0,15";"0,00";"13,73";"0,020";"0,00";"0,017";"0,64";"0,64";"0,00";"0,00";"0,29";"0,19";"0,02";"0,08";"0,00";"0,00";"0,00";"0,01";"0,00"
"84,00";"ROBERTO : DOCE DE LEITE RESERVA DE MINAS 400g TP ARGENTINO";"3028";"UN 1";"0,063";"1,88";"0,01";"0,26";"0,00";"14,09";"70,48";"41,34";"0,26";"0,00";"14,09";"0,039";"0,00";"0,025";"1,10";"1,10";"0,00";"0,00";"0,51";"0,34";"0,03";"0,14";"0,00";"0,00";"0,00";"0,02";"0,00"
"84,00";"ROBERTO : DOCE DE LEITE RESERVA DE MINAS 435g TRADICIONAL";"3244";"UN 1";"0,056";"1,12";"0,00";"0,36";"0,00";"31,74";"90,35";"47,47";"0,36";"0,00";"31,74";"0,036";"0,00";"0,024";"0,59";"0,46";"0,00";"0,00";"0,31";"0,20";"0,02";"0,09";"0,00";"0,00";"0,00";"0,01";"0,00"
"84,00";"ROBERTO : DROPS HALLS EXTRA FORTE BAG 82,5g";"5728";"PC 1";"0,076";"0,45";"0,00";"0,07";"0,00";"14,49";"45,39";"31,22";"0,07";"0,00";"14,49";"0,007";"0,00";"0,006";"0,31";"0,26";"0,00";"0,00";"0,12";"0,08";"0,01";"0,03";"0,00";"0,00";"0,00";"0,00";"0,00"
"84,02";"ROBERTO : DUETO PREDILECTA LT 170g";"10994";"UN 1";"1,877";"8,43";"0,02";"1,26";"0,01";"14,96";"73,04";"42,21";"1,26";"0,01";"14,96";"0,616";"0,04";"0,525";"4,87";"4,87";"0,00";"0,00";"2,30";"1,52";"0,14";"0,64";"0,00";"0,00";"0,00";"0,03";"0,00"
"84,02";"ROBERTO : ELIMINA ODORES PROCÃO CITRONE 500mL ";"7388";"UN 1";"0,043";"0,94";"0,00";"0,13";"0,00";"13,91";"69,94";"41,16";"0,13";"0,00";"13,91";"0,000";"0,00";"0,000";"0,55";"0,55";"0,00";"0,00";"0,26";"0,17";"0,02";"0,07";"0,00";"0,00";"0,00";"0,01";"0,00"
"84,05";"ROBERTO : ERVILHA KNORR LT 170g";"6208";"UN 1";"1,572";"8,63";"0,03";"2,00";"0,02";"23,14";"61,00";"37,89";"2,00";"0,02";"23,14";"0,537";"0,04";"0,456";"5,36";"4,28";"0,00";"0,00";"2,35";"1,55";"0,14";"0,66";"0,00";"0,00";"0,00";"0,03";"0,00"
"84,05";"ROBERTO : ESPEC CHIMICHURRI KODILAR PT 15g";"8788";"UN 1";"0,070";"0,77";"0,00";"0,70";"0,01";"90,75";"";"100,00";"0,70";"0,01";"90,75";"0,002";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"0,07";"0,00";"0,01";"0,06";"0,00";"0,00";"0,00";"0,01";"0,00"
"84,05";"ROBERTO : ESPEC KODILAR MIX PIMENTA 40g C/MOEDOR";"8750";"UN 1";"0,020";"0,59";"0,00";"0,05";"0,00";"9,16";"57,26";"36,41";"0,05";"0,00";"9,16";"0,000";"0,00";"0,000";"0,37";"0,37";"0,00";"0,00";"0,16";"0,11";"0,01";"0,04";"0,00";"0,00";"0,00";"0,01";"0,00"
"84,05";"ROBERTO : ESPEC KODILAR PT 30g CURRY";"9272";"UN 1";"0,118";"1,06";"0,00";"0,12";"0,00";"11,46";"63,16";"38,71";"0,12";"0,00";"11,46";"0,006";"0,00";"0,000";"0,65";"0,65";"0,00";"0,00";"0,29";"0,19";"0,02";"0,08";"0,00";"0,00";"0,00";"0,01";"0,00"
"84,05";"ROBERTO : EXT TOMATE QUERO LT 350g";"1876";"UN 1";"0,010";"0,07";"0,00";"0,07";"0,00";"90,75";"";"100,00";"0,07";"0,00";"90,75";"0,004";"0,00";"0,004";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00"
"84,08";"ROBERTO : EXTRATO TOMATE ELEFANTE PT 300g CEBOLA E ALHO";"1998";"UN 1";"1,283";"11,53";"0,03";"3,48";"0,04";"30,19";"49,84";"33,26";"3,48";"0,04";"30,19";"0,398";"0,03";"0,385";"7,70";"6,98";"0,00";"0,00";"1,07";"0,00";"0,19";"0,88";"0,00";"0,00";"0,00";"0,04";"0,00"
"84,09";"ROBERTO : EXTRATO TOMATE PREDILECTA PT 300g CEB/ALHO";"9438";"UN 1";"0,270";"2,16";"0,01";"1,96";"0,02";"90,75";"";"100,00";"1,96";"0,02";"90,75";"0,088";"0,01";"0,081";"0,00";"0,00";"0,00";"0,00";"0,20";"0,00";"0,04";"0,16";"0,00";"0,00";"0,00";"0,01";"0,00"
"84,10";"ROBERTO : FARELO AVEIA OAT BRAN QUAKER 165g";"9381";"UN 1";"0,322";"3,22";"0,01";"0,70";"0,01";"21,90";"53,46";"34,83";"0,70";"0,01";"21,90";"0,061";"0,00";"0,053";"2,10";"1,64";"0,00";"0,00";"0,88";"0,58";"0,05";"0,24";"0,00";"0,00";"0,00";"0,00";"0,00"
"84,11";"ROBERTO : FARINHA CAST DE CAJU AMIGOS DO BEM";"56";"UN 1";"0,177";"1,95";"0,01";"-0,09";"0,00";"-4,84";"28,88";"22,41";"-0,09";"0,00";"-4,84";"0,030";"0,00";"0,027";"1,51";"1,51";"0,00";"0,00";"0,53";"0,35";"0,03";"0,15";"0,00";"0,00";"0,00";"0,01";"0,00"
"84,12";"ROBERTO : FARINHA DE AVEIA KININO 170g";"3305";"UN 1";"0,623";"3,11";"0,01";"1,07";"0,01";"34,51";"108,79";"52,10";"1,07";"0,01";"34,51";"0,126";"0,01";"0,001";"1,49";"1,19";"0,00";"0,00";"0,85";"0,56";"0,05";"0,24";"0,00";"0,00";"0,00";"0,00";"0,00"
"84,16";"ROBERTO : FARINHA MANDIOCA KININO 1Kg GROSSA";"3256";"UN 1";"1,331";"11,97";"0,04";"3,41";"0,04";"28,46";"60,54";"37,71";"3,41";"0,04";"28,46";"1,354";"0,10";"0,001";"7,46";"7,46";"0,00";"0,00";"1,11";"0,00";"0,20";"0,91";"0,00";"0,00";"0,00";"0,00";"0,00"
"84,17";"ROBERTO : FAROFA MANDIOCA D'GOIÁS 300g EXTRA CEBOLA";"7672";"UN 1";"0,167";"2,51";"0,01";"0,19";"0,00";"7,44";"29,78";"22,95";"0,19";"0,00";"7,44";"0,055";"0,00";"0,052";"1,93";"1,64";"0,00";"0,00";"0,68";"0,45";"0,04";"0,19";"0,00";"0,00";"0,00";"0,00";"0,00"
"84,18";"ROBERTO : FERM BIOLÓGICO FLEISCHMANN LV3 PG2 INSTANTÂNEO";"18903";"UN 1";"1,593";"4,75";"0,01";"0,78";"0,01";"16,37";"77,38";"43,62";"0,78";"0,01";"16,37";"0,056";"0,00";"0,002";"2,68";"2,68";"0,00";"0,00";"1,29";"0,85";"0,08";"0,36";"0,00";"0,00";"0,00";"0,04";"0,00"
