"%Acm. Venda";"Comprador : Produto";"Código Produto";"Embalagem Unitária";"Venda Quantidade";"Unitário Médio";"Venda Valor";"Venda % Partic.";"Promoções Valor Venda";"Promoc. % Partic.";"% Partic. Prom./Vda.";"Lucratividade Unit.";"Lucratividade Valor";"Lucrat. % Partic.";"Lucrat. Marg %";"% Mark Up";"% Mark Down";"Custo Bruto";"Custo Líquido";"Despesa Venda";"Compror";"Comissão";"Impostos Venda";"Valor IBS  Municipal";"Valor IBS  Estadual";"Valor CBS";"Valor IS";"Contribuição Valor";"Contrib. % Partic.";"Contrib. Marg %*";"Peso Bruto";"Peso Brt %Partic.";"Peso Líquido";"Volume M ³";"Valor Venda Por M³";"Custo Fiscal Unit.";"Custo Fiscal Total (Estq)";"Custo Fiscal Total";"Despesa Fixa";"Desconto Fixo";"Vlr Descto Fora de NF"
"69,62";"ROBERTO : CHOC B NEUGEBAUER 80g AMENDOIM";"8772";"UN 1";"2,000";"7,29";"14,58";"0,01";"0,00";"0,00";"0,00";"1,76";"3,51";"0,01";"24,07";"50,00";"33,33";"9,72";"9,72";"0,00";"0,00";"0,00";"1,35";"0,00";"0,00";"0,00";"0,00";"3,51";"0,01";"26,53";"0,170";"0,00";"0,160";"0,000";"0,000";"5,20";"722,74";"10,40";"0,00";"0,00";"0,00"
"69,62";"ROBERTO : CHOC B NEUGEBAUER 80g BRANCO COOKIES";"8773";"UN 1";"1,000";"7,29";"7,29";"0,00";"0,00";"0,00";"0,00";"1,76";"1,76";"0,00";"24,14";"50,00";"33,33";"4,86";"4,86";"0,00";"0,00";"0,00";"0,67";"0,00";"0,00";"0,00";"0,00";"1,76";"0,00";"26,60";"0,085";"0,00";"0,080";"0,000";"0,000";"5,23";"973,10";"5,23";"0,00";"0,00";"0,00"
"69,62";"ROBERTO : CHOC B NEUGEBAUER AMENDOLATE 80g";"8764";"UN 1";"1,000";"7,29";"7,29";"0,00";"0,00";"0,00";"0,00";"1,76";"1,76";"0,00";"24,14";"50,00";"33,33";"4,86";"4,86";"0,00";"0,00";"0,00";"0,67";"0,00";"0,00";"0,00";"0,00";"1,76";"0,00";"26,60";"0,082";"0,00";"0,000";"0,000";"0,000";"5,23";"627,81";"5,23";"0,00";"0,00";"0,00"
"69,63";"ROBERTO : CHOC BATON 16g AO LEITE";"11220";"UN 1";"5,000";"2,49";"12,45";"0,01";"0,00";"0,00";"0,00";"0,96";"4,81";"0,01";"38,63";"74,13";"42,57";"7,15";"6,49";"0,00";"0,00";"0,00";"1,15";"0,00";"0,00";"0,00";"0,00";"4,81";"0,01";"42,57";"0,085";"0,00";"0,080";"0,000";"0,000";"1,26";"196,00";"6,28";"0,00";"0,00";"0,00"
"69,64";"ROBERTO : CHOC BATON 16g MORANGO";"9669";"UN 1";"5,000";"2,49";"12,45";"0,01";"0,00";"0,00";"0,00";"1,10";"5,50";"0,01";"44,18";"94,84";"48,67";"6,39";"5,80";"0,00";"0,00";"0,00";"1,15";"0,00";"0,00";"0,00";"0,00";"5,50";"0,01";"48,68";"0,075";"0,00";"0,080";"0,000";"0,000";"1,18";"568,92";"5,88";"0,00";"0,00";"0,00"
"69,66";"ROBERTO : CHOC BIS XTRA 45g AO LEITE";"5529";"UN 1";"4,000";"5,99";"23,96";"0,02";"0,00";"0,00";"0,00";"1,91";"7,62";"0,02";"31,80";"53,98";"35,06";"15,56";"14,12";"0,00";"0,00";"0,00";"2,22";"0,00";"0,00";"0,00";"0,00";"7,62";"0,02";"35,04";"0,200";"0,00";"0,180";"0,000";"0,000";"3,56";"405,51";"14,23";"0,00";"0,00";"0,00"
"69,67";"ROBERTO : CHOC BIS XTRA 45g BLACK";"5537";"UN 1";"2,000";"5,99";"11,98";"0,01";"0,00";"0,00";"0,00";"1,91";"3,81";"0,01";"31,80";"53,98";"35,06";"7,78";"7,06";"0,00";"0,00";"0,00";"1,11";"0,00";"0,00";"0,00";"0,00";"3,81";"0,01";"35,04";"0,100";"0,00";"0,090";"0,000";"0,000";"3,53";"52,95";"7,06";"0,00";"0,00";"0,00"
"69,68";"ROBERTO : CHOC BIS XTRA 45g BRANCO";"5541";"UN 1";"2,000";"5,99";"11,98";"0,01";"0,00";"0,00";"0,00";"1,91";"3,81";"0,01";"31,80";"53,98";"35,06";"7,78";"7,06";"0,00";"0,00";"0,00";"1,11";"0,00";"0,00";"0,00";"0,00";"3,81";"0,01";"35,04";"0,100";"0,00";"0,090";"0,000";"0,000";"3,59";"247,43";"7,17";"0,00";"0,00";"0,00"
"69,70";"ROBERTO : CHOC BIS XTRA 45g OREO";"5534";"UN 1";"5,000";"5,99";"29,95";"0,02";"0,00";"0,00";"0,00";"1,91";"9,53";"0,03";"31,82";"53,98";"35,06";"19,45";"17,65";"0,00";"0,00";"0,00";"2,77";"0,00";"0,00";"0,00";"0,00";"9,53";"0,03";"35,06";"0,250";"0,00";"0,225";"0,000";"0,000";"3,68";"272,04";"18,38";"0,00";"0,00";"0,00"
"69,72";"ROBERTO : CHOC FERRERO KINDER BUENO 43g";"13871";"UN 1";"3,000";"10,99";"32,97";"0,02";"0,00";"0,00";"0,00";"3,19";"9,56";"0,03";"29,00";"52,22";"34,30";"21,66";"20,36";"0,00";"0,00";"0,00";"3,05";"0,00";"0,00";"0,00";"0,00";"9,56";"0,03";"31,95";"0,138";"0,00";"0,129";"0,000";"0,000";"6,62";"1.045,45";"19,85";"0,00";"0,00";"0,00"
